Municipality,Province,Province ID,Municipality ID
LUBUAGAN,KALINGA,83,1600
PASIL,KALINGA,83,1601
PINUKPUK,KALINGA,83,1602
RIZAL (LIWAN),KALINGA,83,1603
TANUDAN,KALINGA,83,1604
TINGLAYAN,KALINGA,83,1605
BARLIG,MOUNTAIN PROVINCE,84,1606
BAUKO,MOUNTAIN PROVINCE,84,1607
BESAO,MOUNTAIN PROVINCE,84,1608
BONTOC (Capital),MOUNTAIN PROVINCE,84,1609
NATONIN,MOUNTAIN PROVINCE,84,1610
PARACELIS,MOUNTAIN PROVINCE,84,1611
SABANGAN,MOUNTAIN PROVINCE,84,1612
SADANGA,MOUNTAIN PROVINCE,84,1613
SAGADA,MOUNTAIN PROVINCE,84,1614
TADIAN,MOUNTAIN PROVINCE,84,1615
BAGUIO CITY,BENGUET,81,1616
CITY OF TABUK (Capital),KALINGA,83,1617
CITY OF SAN JUAN,NCR   SECOND DISTRICT,85,1618
CITY OF NAVOTAS,NCR   THIRD DISTRICT,86,1619
TONDO,"MANILA, NCR,  FIRST DISTRICT ",87,1620
INTRAMUROS,"MANILA, NCR,  FIRST DISTRICT ",87,1621
SAMPALOC,"MANILA, NCR,  FIRST DISTRICT ",87,1622
ERMITA,"MANILA, NCR,  FIRST DISTRICT ",87,1623
SAN MIGUEL,"MANILA, NCR,  FIRST DISTRICT ",87,1624
SANTA ANA,"MANILA, NCR,  FIRST DISTRICT ",87,1625
QUIAPO,"MANILA, NCR,  FIRST DISTRICT ",87,1626
MALATE,"MANILA, NCR,  FIRST DISTRICT ",87,1627
SANTA CRUZ,"MANILA, NCR,  FIRST DISTRICT ",87,1628
SAN NICOLAS,"MANILA, NCR,  FIRST DISTRICT ",87,1629
BINONDO,"MANILA, NCR,  FIRST DISTRICT ",87,1630
PACO,"MANILA, NCR,  FIRST DISTRICT ",87,1631
PANDACAN,"MANILA, NCR,  FIRST DISTRICT ",87,1632
PORT AREA,"MANILA, NCR,  FIRST DISTRICT ",87,1633
QUEZON CITY,NCR   SECOND DISTRICT,85,1634
PASAY CITY,NCR   FOURTH DISTRICT,88,1635
CITY OF MAKATI,NCR   FOURTH DISTRICT,88,1636
KALOOKAN CITY,NCR   THIRD DISTRICT,86,1637
CITY OF MANDALUYONG,NCR   SECOND DISTRICT,85,1638
CITY OF MARIKINA,NCR   SECOND DISTRICT,85,1639
CITY OF PASIG,NCR   SECOND DISTRICT,85,1640
CITY OF PARAÑAQUE,NCR   FOURTH DISTRICT,88,1641
CITY OF LAS PIÑAS,NCR   FOURTH DISTRICT,88,1642
CITY OF VALENZUELA,NCR   THIRD DISTRICT,86,1643
CITY OF MALABON,NCR   THIRD DISTRICT,86,1644
TAGUIG CITY,NCR   FOURTH DISTRICT,88,1645
PATEROS,NCR   FOURTH DISTRICT,88,1646
CITY OF MUNTINLUPA,NCR   FOURTH DISTRICT,88,1647
