region,division,district,beis_school_id,school_name,street_address,province,municipality,legislative_district,barangay,sector,school_subclassification,school_type,modified_coc,g11_acad_-_abm_male,g11_acad_-_abm_female,g11_acad_-_humss_male,g11_acad_-_humss_female,g11_acad_stem_male,g11_acad_stem_female,g11_acad_gas_male,g11_acad_gas_female,g11_acad_pbm_male,g11_acad_pbm_female,g11_tvl_male,g11_tvl_female,g11_sports_male,g11_sports_female,g11_arts_male,g11_arts_female,g12_acad_-_abm_male,g12_acad_-_abm_female,g12_acad_-_humss_male,g12_acad_-_humss_female,g12_acad_stem_male,g12_acad_stem_female,g12_acad_gas_male,g12_acad_gas_female,g12_acad_pbm_male,g12_acad_pbm_female,g12_tvl_male,g12_tvl_female,g12_sports_male,g12_sports_female,g12_arts_male,g12_arts_female,total_non_graded_enrollment,total_male_enrollment,total_female_enrollment,total_enrollment
Region II,Isabela,Gamu,342078,Isabela Sports Senior High School,"Alibagu, City of Ilagan, Isabela",ISABELA,ILAGAN CITY (CAPITAL),1st District,ALIBAGU,Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,0,0,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,0,0,0,54,26,80
Region II,Isabela,Roxas East,409368,"Worldstar College of Science and Technology, Inc.","National Highway, Bantug, Roxas, Isabela",ISABELA,ROXAS,2nd District,BANTUG (POB.),Private,Non-Sectarian ,School with no Annexes,Purely SHS,8,22,59,53,30,37,0,0,0,0,37,18,0,0,0,0,8,20,70,70,27,48,3,5,0,0,38,29,0,0,0,0,0,280,302,582
Region II,Isabela,Roxas East,600337,Isabela State University Roxas Campus,Luna-Rangayan,ISABELA,ROXAS,2nd District,LUNA (POB.),SUCsLUCs,SUC Managed,Annex or Extension school(s),Purely SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,10,16,26
Region II,Isabela,Roxas West,305832,Roxas Stand Alone Senior High School,Purok 3,ISABELA,ROXAS,2nd District,SAN ANTONIO,Public,DepED Managed,School with no Annexes,Purely SHS,12,34,114,97,83,102,0,0,0,0,70,34,0,0,0,0,8,25,100,99,47,69,0,0,0,0,48,17,0,0,0,0,0,482,477,959
Region II,Isabela,San Mateo North,305943,Salinungan Stand-Alone Senior High School,Ramones St.,ISABELA,SAN MATEO,3rd District,SALINUNGAN WEST,Public,DepED Managed,School with no Annexes,Purely SHS,33,40,84,61,28,53,0,0,0,0,42,41,0,0,0,0,30,49,88,68,30,34,0,0,0,0,35,27,0,0,0,0,0,370,373,743
Region II,Isabela,Tumauini South,305942,Tumauini Stand-Alone Senior High Schol,"Annafunan, Tumauini Isabela",ISABELA,TUMAUINI,1st District,ANNAFUNAN,Public,DepED Managed,School with no Annexes,Purely SHS,19,29,65,82,24,51,0,0,0,0,168,98,0,0,0,0,12,30,76,75,0,0,0,0,0,0,145,86,0,0,0,0,0,509,451,960
Region II,Nueva Vizcaya,Bayombong I,407322,"Our Lady of Peace and Good Voyage Institute of Technology, Inc.","National Highway, Don Tomas Maddela, Bayombong, Nueva Vizcaya",NUEVA VIZCAYA,BAYOMBONG (Capital),Lone District,DISTRICT III POB. (DON M. PEREZ),Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,0,0,0,0,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,22,21,43
Region II,Tuguegarao City,Tuguegarao North Educational Zone,305873,Cagayan National High School - Senior HS,Bagay Road,CAGAYAN,TUGUEGARAO CITY(Capital),3rd District,SAN GABRIEL,Public,DepED Managed,School with no Annexes,Purely SHS,43,101,320,289,163,321,65,74,0,0,204,110,38,15,14,16,48,121,231,222,132,276,46,43,0,0,138,67,27,5,20,10,0,1489,1670,3159
Region II,Tuguegarao City,Tuguegarao North Educational Zone,404185,"City Technological Institute, INC","Caritan Centro, Tuguegarao City",CAGAYAN,TUGUEGARAO CITY(Capital),3rd District,CARITAN CENTRO,Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
Region II,Tuguegarao City,Tuguegarao North Educational Zone,407150,International School of Asia and the Pacific - Atulayan,"Atulayan Sur, Tuguegarao City",CAGAYAN,TUGUEGARAO CITY(Capital),3rd District,ATULAYAN SUR,Private,Non-Sectarian ,School with no Annexes,Purely SHS,2,2,9,4,8,9,0,0,0,0,2,3,0,0,0,0,2,5,7,9,6,17,0,0,0,0,0,0,0,0,0,0,0,36,49,85
