region,division,district,beis_school_id,school_name,street_address,province,municipality,legislative_district,barangay,sector,school_subclassification,school_type,modified_coc,k_male,k_female,g1_male,g2_male,g3_male,g4_male,g5_male,g6_male,g1_female,g2_female,g3_female,g4_female,g5_female,g6_female,elem_ng_male,elem_ng_female,g7_male,g8_male,g9_male,g10_male,g7_female,g8_female,g9_female,g10_female,jhs_ng_male,jhs_ng_female,g11_acad_-_abm_male,g11_acad_-_abm_female,g11_acad_-_humss_male,g11_acad_-_humss_female,g11_acad_stem_male,g11_acad_stem_female,g11_acad_gas_male,g11_acad_gas_female,g11_acad_pbm_male,g11_acad_pbm_female,g11_tvl_male,g11_tvl_female,g11_sports_male,g11_sports_female,g11_arts_male,g11_arts_female,g12_acad_-_abm_male,g12_acad_-_abm_female,g12_acad_-_humss_male,g12_acad_-_humss_female,g12_acad_stem_male,g12_acad_stem_female,g12_acad_gas_male,g12_acad_gas_female,g12_acad_pbm_male,g12_acad_pbm_female,g12_tvl_male,g12_tvl_female,g12_sports_male,g12_sports_female,g12_arts_male,g12_arts_female,total_non_graded_enrollment,total_male_enrollment,total_female_enrollment,total_enrollment
Region VII,Talisay City,Talisay City II,404391,Asian College of Technology,"Bulacao, Talisay City",CEBU,CITY OF TALISAY,1st District,BULACAO,Private,Non-Sectarian ,School with no Annexes,All Offering,9,9,16,8,11,12,17,14,9,16,14,5,11,11,0,0,16,18,18,23,8,11,22,20,0,0,58,130,98,171,193,172,0,0,0,0,238,160,0,0,0,0,50,180,154,229,233,262,0,0,0,0,185,171,0,0,0,0,0,1371,1611,2982
Region VII,Talisay City,Talisay City II,404397,"Adventist Academy - Cebu, Inc.","Bulacao, Talisay City, Cebu",CEBU,CITY OF TALISAY,1st District,BULACAO,Private,Sectarian ,School with no Annexes,All Offering,12,21,19,22,19,26,24,28,21,29,23,18,20,23,0,0,44,38,48,41,47,56,55,46,0,0,6,9,14,10,39,61,0,0,0,0,0,0,0,0,0,0,10,8,11,16,37,57,0,0,0,0,0,0,0,0,0,0,0,438,520,958
Region VII,Talisay City,Talisay City III,404403,Cebu Sacred Heart College Inc.,"Lawaan I, Talisay City, Cebu",CEBU,CITY OF TALISAY,1st District,LAWAAN I,Private,Non-Sectarian ,School with no Annexes,All Offering,7,4,18,7,20,5,6,3,7,7,11,4,11,11,0,0,11,9,15,11,12,12,6,10,0,0,1,5,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,130,115,245
Region VII,Tanjay City,Tanjay City South,404611,Casa Marie Learning Institute (Casa Maria Nina Basic Learning Center),"LINDBERGH DRIVE, ILAYA",NEGROS ORIENTAL,CITY OF TANJAY,2nd District,POBLACION I (BARANGAY 1),Private,Non-Sectarian ,School with no Annexes,All Offering,9,6,11,10,7,9,10,5,9,15,10,5,9,7,0,0,18,13,23,14,16,23,16,14,0,0,1,3,26,9,6,7,1,7,0,0,0,0,0,0,0,0,1,5,18,6,0,0,10,4,0,0,0,0,0,0,0,0,0,192,171,363
Region VII,Tanjay City,Tanjay City South,404613,Immaculate Heart Academy,Rizal Street,NEGROS ORIENTAL,CITY OF TANJAY,2nd District,POBLACION II (BARANGAY 2),Private,Sectarian ,School with no Annexes,All Offering,3,6,7,13,4,6,8,6,3,5,5,6,4,5,0,0,44,29,31,22,38,40,36,22,0,0,4,2,22,16,15,18,2,3,0,0,0,0,0,0,0,0,1,9,13,12,17,16,1,1,0,0,0,0,0,0,0,0,0,248,247,495
Region VII,Tanjay City,Tanjay City South,404615,Villaflores College,Legaspi,NEGROS ORIENTAL,CITY OF TANJAY,2nd District,POBLACION VIII (BARANGAY 8),Private,Non-Sectarian ,School with no Annexes,All Offering,6,2,13,5,4,1,3,8,5,7,13,2,8,7,0,0,55,29,38,35,53,17,32,39,0,0,2,26,0,0,33,63,30,28,0,0,0,0,0,0,0,0,2,8,0,0,28,24,25,18,0,0,0,0,0,0,0,0,0,317,352,669
Region VII,Bais City,Bais City North,404593,La Consolacion College,Aglipay Street,NEGROS ORIENTAL,BAIS CITY,2nd District,BARANGAY  II (POB.),Private,Sectarian ,School with no Annexes,All Offering,2,1,3,1,2,2,2,3,3,2,3,3,0,4,0,0,15,12,15,28,16,6,12,17,0,0,3,11,14,15,38,44,0,0,0,0,10,2,0,0,0,0,4,8,15,6,33,32,0,0,0,0,5,1,0,0,0,0,0,207,186,393
Region VII,Bais City,Bais City North,502401,Dansulan Integrated School,Dansulan,NEGROS ORIENTAL,BAIS CITY,2nd District,DANSULAN,Public,DepED Managed,School with no Annexes,All Offering,20,15,19,14,13,17,11,7,16,17,18,12,12,28,0,0,11,13,7,10,11,10,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,172,314
Region VII,Bais City,Bais City North,502503,Olympia Island Integrated School,"Brgy. Olympia, Bais City",NEGROS ORIENTAL,BAIS CITY,1st District,OLYMPIA,Public,DepED Managed,School with no Annexes,All Offering,10,9,10,13,13,11,17,10,13,14,8,10,8,8,0,0,5,8,11,13,5,6,9,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,138,102,240
Region VII,Bais City,Bais City North,502515,Tagpo Integrated School,"Brgy. Tagpo, Bais City",NEGROS ORIENTAL,BAIS CITY,1st District,TAGPO,Public,DepED Managed,School with no Annexes,All Offering,20,8,11,20,13,15,13,9,14,12,18,8,18,14,0,0,15,16,10,16,22,19,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,176,334
Region VII,Bais City,Bais City South,502397,Basak Integrated School,Brgy. Basak,NEGROS ORIENTAL,BAIS CITY,2nd District,BASAK,Public,DepED Managed,School with no Annexes,All Offering,24,21,19,16,13,26,24,25,21,21,34,15,27,19,0,0,20,19,24,26,22,23,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,237,473
Region VII,Bais City,Bais City South,502398,Sab-ahan Integrated School,Sab-ahan,NEGROS ORIENTAL,BAIS CITY,2nd District,SAB-AHAN,Public,DepED Managed,School with no Annexes,All Offering,19,14,30,19,13,19,18,15,16,26,21,15,16,18,0,0,11,0,8,10,17,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,168,330
Region VII,Bais City,Bais City South,502399,Cipriano Alcala Memorial Integrated School,Capiñahan,NEGROS ORIENTAL,BAIS CITY,2nd District,CAPIÃ‘AHAN,Public,DepED Managed,School with no Annexes,All Offering,14,8,15,13,13,13,12,18,7,11,15,14,11,14,0,0,8,3,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,101,210
Region VII,Bais City,Bais City South,502400,Mangganay Integrated School,Panalaan,NEGROS ORIENTAL,BAIS CITY,2nd District,PANALA-AN,Public,DepED Managed,School with no Annexes,All Offering,20,16,22,22,15,20,25,13,24,21,25,14,23,23,0,0,11,16,21,11,13,19,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,211,407
Region VII,Bais City,Bais City South,502402,Palaypay Integrated School,"Lonoy, Sab-ahan",NEGROS ORIENTAL,BAIS CITY,2nd District,LONOY,Public,DepED Managed,School with no Annexes,All Offering,22,14,23,18,18,21,16,16,19,22,24,16,16,15,0,0,17,7,10,15,7,7,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,161,344
Region VII,Bais City,Bais City South,502403,San Vicente Integrated School,Cambagahan,NEGROS ORIENTAL,BAIS CITY,1st District,CAMBAGAHAN,Public,DepED Managed,School with no Annexes,All Offering,15,16,29,21,22,18,18,14,16,15,13,17,15,10,0,0,16,17,11,8,15,25,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,171,360
Region VII,Bais City,Bais City South,502404,Mabunao Integrated School,Brgy.Mabunao Bais Ciity,NEGROS ORIENTAL,BAIS CITY,2nd District,MABUNAO,Public,DepED Managed,School with no Annexes,All Offering,17,14,21,20,16,7,11,6,15,13,8,5,13,9,0,0,9,7,9,7,12,11,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,124,254
Region VII,Guihulngan City,Guihulngan North,404602,Saint Francis College,"Bateria, Guihulngan City, Negros Or.",NEGROS ORIENTAL,CITY OF GUIHULNGAN,3rd District,POBLACION,Private,Sectarian ,School with no Annexes,All Offering,26,35,6,14,9,16,22,14,8,20,15,13,17,14,0,0,51,51,45,45,49,42,47,56,0,0,3,6,43,29,35,31,0,0,0,0,12,5,0,0,0,0,4,12,34,19,17,32,0,0,0,0,12,2,0,0,0,0,0,459,452,911
